Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 2.146E+00 1.543E-02 9.202E+02 9.224E+02 
1.142E-03 2.091E+00 1.840E-02 6.442E+02 6.463E+02 
1.305E-03 2.030E+00 2.172E-02 4.509E+02 4.530E+02 
1.305E-03 2.030E+00 2.172E-02 5.441E+03 5.443E+03 
1.500E-03 1.956E+00 2.535E-02 4.002E+03 4.004E+03 
2.000E-03 1.781E+00 3.310E-02 1.930E+03 1.932E+03 
3.000E-03 1.499E+00 4.562E-02 6.568E+02 6.584E+02 
4.000E-03 1.279E+00 5.726E-02 2.961E+02 2.974E+02 
5.000E-03 1.091E+00 6.844E-02 1.571E+02 1.583E+02 
6.000E-03 9.296E-01 7.887E-02 9.279E+01 9.380E+01 
8.000E-03 6.804E-01 9.681E-02 3.982E+01 4.059E+01 
1.000E-02 5.117E-01 1.107E-01 2.043E+01 2.106E+01 
1.500E-02 2.884E-01 1.318E-01 5.937E+00 6.357E+00 
2.000E-02 1.880E-01 1.422E-01 2.433E+00 2.763E+00 
3.000E-02 1.005E-01 1.515E-01 6.784E-01 9.304E-01 
4.000E-02 6.261E-02 1.544E-01 2.711E-01 4.880E-01 
5.000E-02 4.254E-02 1.543E-01 1.324E-01 3.292E-01 
