Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 4.240E+00 9.236E-03 8.089E+03 8.093E+03 
1.500E-03 3.948E+00 1.591E-02 2.979E+03 2.983E+03 
2.000E-03 3.646E+00 2.190E-02 1.417E+03 1.421E+03 
3.000E-03 3.091E+00 3.276E-02 4.820E+02 4.851E+02 
4.000E-03 2.613E+00 4.279E-02 2.202E+02 2.229E+02 
5.000E-03 2.213E+00 5.191E-02 1.189E+02 1.212E+02 
6.000E-03 1.884E+00 6.014E-02 7.156E+01 7.350E+01 
6.539E-03 1.735E+00 6.420E-02 5.623E+01 5.803E+01 
6.539E-03 1.735E+00 6.420E-02 4.502E+02 4.520E+02 
8.000E-03 1.407E+00 7.414E-02 2.720E+02 2.734E+02 
1.000E-02 1.099E+00 8.523E-02 1.502E+02 1.514E+02 
1.500E-02 6.878E-01 1.036E-01 4.948E+01 5.027E+01 
2.000E-02 4.764E-01 1.148E-01 2.193E+01 2.253E+01 
3.000E-02 2.613E-01 1.267E-01 6.753E+00 7.142E+00 
4.000E-02 1.648E-01 1.315E-01 2.873E+00 3.169E+00 
5.000E-02 1.143E-01 1.330E-01 1.467E+00 1.714E+00 
